word,Maxpos,wordCount,percent_of_total
people,NOUN,17,2.755267423014587
user,NOUN,14,2.2690437601296596
wearable,NOUN,9,1.4586709886547813
work,NOUN,8,1.2965964343598055
device,NOUN,8,1.2965964343598055
light,NOUN,8,1.2965964343598055
day,NOUN,8,1.2965964343598055
screen,NOUN,8,1.2965964343598055
interface,NOUN,7,1.1345218800648298
space,NOUN,7,1.1345218800648298
time,NOUN,7,1.1345218800648298
app,NOUN,6,0.9724473257698543
track,NOUN,5,0.8103727714748784
task,NOUN,5,0.8103727714748784
table,NOUN,5,0.8103727714748784
bracelet,NOUN,4,0.6482982171799028
break,NOUN,4,0.6482982171799028
laptop,NOUN,4,0.6482982171799028
level,NOUN,4,0.6482982171799028
portable,ADJ,4,0.6482982171799028
phone,NOUN,4,0.6482982171799028
able,ADJ,4,0.6482982171799028
interactive,ADJ,4,0.6482982171799028
tangible,ADJ,4,0.6482982171799028
wifi,NOUN,4,0.6482982171799028
vibrate,NOUN,4,0.6482982171799028
water,NOUN,4,0.6482982171799028
same,ADJ,3,0.48622366288492713
outside,NOUN,3,0.48622366288492713
worker,NOUN,3,0.48622366288492713
noise,NOUN,3,0.48622366288492713
nausea,NOUN,3,0.48622366288492713
massage,NOUN,3,0.48622366288492713
public,ADJ,3,0.48622366288492713
machine,NOUN,3,0.48622366288492713
call,NOUN,3,0.48622366288492713
rate,NOUN,3,0.48622366288492713
bag,NOUN,3,0.48622366288492713
way,NOUN,3,0.48622366288492713
reminder,NOUN,3,0.48622366288492713
glass,NOUN,3,0.48622366288492713
headphone,NOUN,3,0.48622366288492713
hour,NOUN,3,0.48622366288492713
desk,NOUN,3,0.48622366288492713
audio,ADJ,3,0.48622366288492713
heart,NOUN,3,0.48622366288492713
notification,NOUN,3,0.48622366288492713
sensor,NOUN,3,0.48622366288492713
many,ADJ,2,0.3241491085899514
nonverbal,ADJ,2,0.3241491085899514
info,NOUN,2,0.3241491085899514
material,NOUN,2,0.3241491085899514
lap,NOUN,2,0.3241491085899514
game,NOUN,2,0.3241491085899514
min,NOUN,2,0.3241491085899514
mobile,ADJ,2,0.3241491085899514
multiple,ADJ,2,0.3241491085899514
list,NOUN,2,0.3241491085899514
idea,NOUN,2,0.3241491085899514
hand,NOUN,2,0.3241491085899514
habit,NOUN,2,0.3241491085899514
measure,NOUN,2,0.3241491085899514
question,NOUN,2,0.3241491085899514
person,NOUN,2,0.3241491085899514
photo,NOUN,2,0.3241491085899514
website,NOUN,2,0.3241491085899514
visible,ADJ,2,0.3241491085899514
type,NOUN,2,0.3241491085899514
tui,NOUN,2,0.3241491085899514
trivia,ADJ,2,0.3241491085899514
thing,NOUN,2,0.3241491085899514
temperature,NOUN,2,0.3241491085899514
study,NOUN,2,0.3241491085899514
specific,ADJ,2,0.3241491085899514
sound,NOUN,2,0.3241491085899514
sort,NOUN,2,0.3241491085899514
smart,ADJ,2,0.3241491085899514
sleep,NOUN,2,0.3241491085899514
signal,NOUN,2,0.3241491085899514
schedule,NOUN,2,0.3241491085899514
scent,NOUN,2,0.3241491085899514
route,NOUN,2,0.3241491085899514
room,NOUN,2,0.3241491085899514
random,ADJ,2,0.3241491085899514
environment,NOUN,2,0.3241491085899514
pulse,NOUN,2,0.3241491085899514
progress,NOUN,2,0.3241491085899514
productivity,NOUN,2,0.3241491085899514
practice,NOUN,2,0.3241491085899514
platform,NOUN,2,0.3241491085899514
place,NOUN,2,0.3241491085899514
piece,NOUN,2,0.3241491085899514
fun,NOUN,2,0.3241491085899514
mood,NOUN,2,0.3241491085899514
color,NOUN,2,0.3241491085899514
different,ADJ,2,0.3241491085899514
ambience,NOUN,2,0.3241491085899514
atmosphere,NOUN,2,0.3241491085899514
collaborative,ADJ,2,0.3241491085899514
computer,NOUN,2,0.3241491085899514
cup,NOUN,2,0.3241491085899514
alert,NOUN,2,0.3241491085899514
coffee,NOUN,2,0.3241491085899514
bus,NOUN,2,0.3241491085899514
area,NOUN,2,0.3241491085899514
bottle,NOUN,2,0.3241491085899514
disruption,NOUN,2,0.3241491085899514
content,NOUN,2,0.3241491085899514
setup,NOUN,1,0.1620745542949757
setting,NOUN,1,0.1620745542949757
similar,ADJ,1,0.1620745542949757
set,ADJ,1,0.1620745542949757
shakey,ADJ,1,0.1620745542949757
sensory,ADJ,1,0.1620745542949757
sickness,NOUN,1,0.1620745542949757
side,NOUN,1,0.1620745542949757
bot,NOUN,1,0.1620745542949757
silencer,NOUN,1,0.1620745542949757
smth,NOUN,1,0.1620745542949757
board,NOUN,1,0.1620745542949757
block,NOUN,1,0.1620745542949757
sensation,NOUN,1,0.1620745542949757
belonging,NOUN,1,0.1620745542949757
bathroom,NOUN,1,0.1620745542949757
band,NOUN,1,0.1620745542949757
speaker,NOUN,1,0.1620745542949757
specialized,ADJ,1,0.1620745542949757
balance,NOUN,1,0.1620745542949757
spot,NOUN,1,0.1620745542949757
spray,NOUN,1,0.1620745542949757
stabilization,NOUN,1,0.1620745542949757
stabilizer,NOUN,1,0.1620745542949757
stable,ADJ,1,0.1620745542949757
stand,NOUN,1,0.1620745542949757
sensitiveconfidential,ADJ,1,0.1620745542949757
easy,ADJ,1,0.1620745542949757
breakseat,NOUN,1,0.1620745542949757
real,ADJ,1,0.1620745542949757
checklist,NOUN,1,0.1620745542949757
check,NOUN,1,0.1620745542949757
preference,NOUN,1,0.1620745542949757
printer,NOUN,1,0.1620745542949757
charger,NOUN,1,0.1620745542949757
change,NOUN,1,0.1620745542949757
proximity,NOUN,1,0.1620745542949757
chair,NOUN,1,0.1620745542949757
certain,ADJ,1,0.1620745542949757
case,NOUN,1,0.1620745542949757
capacity,NOUN,1,0.1620745542949757
buttonsmotion,NOUN,1,0.1620745542949757
reader,NOUN,1,0.1620745542949757
reading,NOUN,1,0.1620745542949757
realistic,ADJ,1,0.1620745542949757
breathing,NOUN,1,0.1620745542949757
red,NOUN,1,0.1620745542949757
reduction,NOUN,1,0.1620745542949757
regular,ADJ,1,0.1620745542949757
relief,NOUN,1,0.1620745542949757
bustrain,ADJ,1,0.1620745542949757
replicate,ADJ,1,0.1620745542949757
response,NOUN,1,0.1620745542949757
review,NOUN,1,0.1620745542949757
